ProductKey;ProductAlternateKey;ProductSubcategoryName;ProductName;ProductCategoryName;Color;SizeRange;Description;Startday
210;FR-R92B-58;Road Frames;HL Road Frame - Black, 58;Components;Black;54-58 CM;"Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.";01/04/2008
211;FR-R92R-58;Road Frames;HL Road Frame - Red, 58;Components;Red;54-58 CM;"Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.";01/01/2008
212;HL-U509-R;Helmets;Sport-100 Helmet, Red;Accessories;Red;;Universal fit, well-vented, lightweight , snap-on visor.;01/02/2016
213;HL-U509-R;Helmets;Sport-100 Helmet, Red;Accessories;Red;;Universal fit, well-vented, lightweight , snap-on visor.;01/03/2017
214;HL-U509-R;Helmets;Sport-100 Helmet, Red;Accessories;Red;;Universal fit, well-vented, lightweight , snap-on visor.;01/04/2018
215;HL-U509;Helmets;Sport-100 Helmet, Black;Accessories;Black;;Universal fit, well-vented, lightweight , snap-on visor.;01/05/2016
216;HL-U509;Helmets;Sport-100 Helmet, Black;Accessories;Black;;Universal fit, well-vented, lightweight , snap-on visor.;01/06/2017
217;HL-U509;Helmets;Sport-100 Helmet, Black;Accessories;Black;;Universal fit, well-vented, lightweight , snap-on visor.;01/07/2018
218;SO-B909-M;Socks;Mountain Bike Socks, M;Clothing;White;M;Combination of natural and synthetic fibers stays dry and provides just the right cushioning.;01/08/2016
219;SO-B909-L;Socks;Mountain Bike Socks, L;Clothing;White;L;Combination of natural and synthetic fibers stays dry and provides just the right cushioning.;01/09/2016
220;HL-U509-B;Helmets;Sport-100 Helmet, Blue;Accessories;Blue;;Universal fit, well-vented, lightweight , snap-on visor.;01/04/2016
221;HL-U509-B;Helmets;Sport-100 Helmet, Blue;Accessories;Blue;;Universal fit, well-vented, lightweight , snap-on visor.;01/01/2017
222;HL-U509-B;Helmets;Sport-100 Helmet, Blue;Accessories;Blue;;Universal fit, well-vented, lightweight , snap-on visor.;01/02/2018
223;CA-1098;Caps;AWC Logo Cap;Clothing;Multi;;"Traditional style with a flip-up brim; one-size fits all.";01/03/2016
224;CA-1098;Caps;AWC Logo Cap;Clothing;Multi;;"Traditional style with a flip-up brim; one-size fits all.";01/04/2017
225;CA-1098;Caps;AWC Logo Cap;Clothing;Multi;;"Traditional style with a flip-up brim; one-size fits all.";01/05/2018
226;LJ-0192-S;Jerseys;Long-Sleeve Logo Jersey, S;Clothing;Multi;S;Unisex long-sleeve AWC logo microfiber cycling jersey;01/06/2016
